months_as_customer,age,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_occupation,insured_hobbies,capital-gains,capital-loss,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_year,fraud_reported,policy_state_IN,policy_state_OH,policy_csl_250/500,policy_csl_500/1000,insured_sex_MALE,insured_education_level_College,insured_education_level_High School,insured_education_level_JD,insured_education_level_MD,insured_education_level_Masters,insured_education_level_PhD,insured_relationship_not-in-family,insured_relationship_other-relative,insured_relationship_own-child,insured_relationship_unmarried,insured_relationship_wife,incident_type_Parked Car,incident_type_Single Vehicle Collision,incident_type_Vehicle Theft,collision_type_Front Collision,collision_type_Rear Collision,collision_type_Side Collision,incident_severity_Minor Damage,incident_severity_Total Loss,incident_severity_Trivial Damage,authorities_contacted_Fire,authorities_contacted_Other,authorities_contacted_Police,incident_state_NY,incident_state_OH,incident_state_PA,incident_state_SC,incident_state_VA,incident_state_WV,incident_city_Columbus,incident_city_Hillsdale,incident_city_Northbend,incident_city_Northbrook,incident_city_Riverwood,incident_city_Springfield,property_damage_NO,property_damage_YES,police_report_available_NO,police_report_available_YES
328,48,1000,1406.91,0,466132,2,17,53300,0,5,1,1,2,71610.0,6510,13020,52080,10,2004,1,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
228,42,2000,1197.22,0,468176,6,15,0,0,8,1,0,0,5070.0,780,780,3510,8,2007,1,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
134,29,2000,1413.14,0,430632,11,2,35100,0,7,3,2,3,34650.0,7700,3850,23100,4,2007,0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
256,41,2000,1415.74,0,608117,1,2,48900,-62400,5,1,1,2,63400.0,6340,6340,50720,3,2014,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
228,44,1000,1583.91,0,610706,11,2,66000,-46000,20,1,0,1,6500.0,1300,650,4550,0,2009,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
256,39,1000,1351.1,0,478456,12,3,0,0,19,3,0,2,64100.0,6410,6410,51280,10,2003,1,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
137,34,1000,1333.35,0,441716,9,2,0,-77000,0,3,0,0,78650.0,21450,7150,50050,9,2012,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
165,37,1000,1137.03,0,603195,12,0,0,0,23,3,2,2,51590.0,9380,9380,32830,1,2015,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
27,33,500,1442.99,0,601734,7,9,0,0,21,1,1,1,27700.0,2770,2770,22160,12,2012,0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
212,42,500,1315.68,0,600983,8,4,0,-39300,14,1,2,1,42300.0,4700,4700,32900,10,1996,0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
235,42,500,1253.12,0,462283,3,7,38400,0,22,1,2,2,87010.0,7910,15820,63280,5,2002,0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
447,61,2000,1137.16,0,615561,3,16,0,-51000,21,3,1,2,113762.5,17680,17680,79560,1,2006,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True
60,23,500,1215.36,0,432220,10,15,0,0,9,1,1,0,56520.0,4710,9420,42390,10,2000,0,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False
121,34,1000,936.61,0,464652,1,3,52800,-32800,5,1,1,1,7280.0,1120,1120,5040,12,2010,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False
180,38,2000,1301.13,0,476685,6,2,41300,-55500,12,1,0,2,46200.0,4200,8400,33600,4,2003,1,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True
473,58,2000,1131.4,0,458733,13,12,55700,0,12,4,0,0,63120.0,10520,10520,42080,0,1999,1,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False
70,26,1000,1199.44,0,619884,6,10,63600,0,0,3,1,2,52110.0,5790,5790,40530,9,2012,0,False,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
140,31,500,708.64,0,470610,6,15,53500,0,9,1,0,2,77880.0,14160,7080,56640,11,2015,0,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True
160,37,500,1374.22,0,472135,2,19,45500,-37800,19,1,1,0,72930.0,6630,13260,53040,0,2015,0,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False
196,39,2000,1475.73,0,477670,5,4,57000,-27300,8,3,2,0,60400.0,6040,6040,48320,9,2014,0,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
460,62,1000,1187.96,0,618845,7,3,0,0,20,3,1,0,47160.0,0,5240,41920,11,2011,0,True,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
217,41,2000,875.15,0,442479,6,16,46700,0,15,3,1,2,37840.0,0,4730,33110,0,1996,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
370,55,2000,972.18,0,443920,9,13,72700,-68200,20,3,0,0,71520.0,17880,5960,47680,11,2000,1,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True
413,55,2000,1268.79,0,453148,8,5,0,-31000,15,1,2,2,98160.0,8180,16360,73620,4,2011,1,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
237,40,1000,883.31,0,434733,2,11,0,-53500,6,1,1,3,77880.0,7080,14160,56640,5,2005,0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False
8,35,2000,1266.92,0,613982,11,14,0,0,16,3,1,3,71500.0,16500,11000,44000,5,2006,1,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
257,43,2000,1322.1,0,436984,9,9,0,-29200,4,1,1,3,9020.0,1640,820,6560,12,2005,0,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
202,34,500,848.07,0,607730,3,5,31000,-30200,5,1,2,1,5720.0,1040,520,4160,11,2003,1,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
224,40,2000,1291.7,0,609837,11,11,0,-55600,21,1,1,0,69840.0,7760,15520,46560,4,2009,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True
241,45,2000,1104.5,0,432211,6,1,0,0,5,1,2,2,91650.0,14100,14100,63450,0,2011,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False
64,25,1000,954.16,0,473328,9,18,53200,0,22,4,0,0,75600.0,12600,12600,50400,12,2005,0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
166,37,2000,1337.28,0,610393,2,15,27500,0,10,3,2,2,67140.0,7460,7460,52220,5,2006,1,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
155,35,1000,1088.34,0,614780,0,19,81100,0,16,3,2,3,29790.0,3310,3310,23170,2,2008,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
114,30,1000,1558.29,0,472248,4,18,51400,-64000,1,3,1,2,77110.0,14020,14020,49070,11,2015,0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
149,37,500,1415.68,0,603381,9,19,0,0,17,1,0,1,64800.0,10800,5400,48600,1,1999,0,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True
147,33,1000,1334.15,0,479224,2,15,53300,-49200,15,1,2,0,53100.0,10620,5310,37170,8,1995,1,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True
62,28,1000,988.45,0,430141,10,4,0,0,3,1,1,1,60200.0,6020,6020,48160,11,2004,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
289,49,2000,1222.48,0,620757,8,9,0,0,16,1,1,1,5330.0,1230,820,3280,11,2001,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
431,54,2000,1155.55,0,615901,2,3,65700,0,4,3,2,0,62300.0,12460,6230,43610,7,2007,0,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
199,37,500,1262.08,0,474615,12,18,48500,0,4,1,0,3,60170.0,10940,10940,38290,9,2011,1,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
79,26,500,1451.62,0,456446,12,11,0,-55700,19,1,2,2,40000.0,8000,4000,28000,2,2010,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False
116,34,500,1737.66,0,470577,13,5,0,-24100,1,1,1,1,97080.0,16180,16180,64720,2,2001,1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
37,23,500,1475.93,0,441648,9,10,0,-67400,17,3,1,0,51660.0,5740,5740,40180,4,2010,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False
106,30,500,600.4762499999999,0,433782,13,15,49700,-60200,23,1,2,2,51120.0,5680,5680,39760,8,2005,0,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
269,44,2000,1081.08,0,468104,8,15,36400,-28700,14,1,0,2,56400.0,11280,11280,33840,12,2014,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
265,40,1000,1454.43,0,459407,10,19,0,0,17,3,2,3,55120.0,6890,0,48230,0,2002,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
163,33,500,1240.47,0,472573,7,14,35300,0,11,3,1,1,77110.0,0,14020,63090,6,2014,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
355,47,2000,1273.7,0,433473,7,11,0,0,19,3,2,1,62800.0,6280,6280,50240,1,2003,1,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
175,34,1000,1123.87,0,446326,10,7,0,0,5,1,2,0,7290.0,810,810,5670,13,1995,0,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
192,35,1000,1245.89,0,435481,3,12,0,-40300,19,1,0,0,76600.0,15320,7660,53620,8,2000,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False
