months_as_customer,age,policy_annual_premium,umbrella_limit,capital-gains,capital-loss,total_claim_amount,injury_claim,property_claim,vehicle_claim,policy_state,policy_csl,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,auto_make,auto_year,number_of_vehicles_involved,bodily_injuries,witnesses,evidence_available
103,69,1916.21,2000000,5191,3772,15324.4,4458.3,999.7,4592.5,IN,100/300,Female,Associate,sales,chess,husband,Parked Car,Front Collision,Total Loss,Police,IL,Cleveland,Toyota,2015,1,0,1,Yes
100,57,1503.72,2000000,1685,769,18328.0,9385.5,7.8,9922.1,IL,100/300,Male,PhD,tech-support,chess,unmarried,Parked Car,Side Collision,Minor Damage,Fire,IL,Cleveland,BMW,1995,2,0,1,No
58,39,312.01,0,8666,1082,10596.7,466.7,9737.6,2327.7,IN,250/500,Male,College,exec-managerial,exercise,own-child,Single Vehicle Collision,Front Collision,Major Damage,Police,OH,Indianapolis,Honda,2009,2,2,2,Yes
190,68,950.19,2000000,1267,1528,2114.8,6075.4,1705.2,650.5,IN,100/300,Male,College,craft-repair,chess,husband,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,IN,Cleveland,BMW,1998,1,2,2,Yes
89,77,1257.59,2000000,7513,2612,6541.5,2410.3,6832.6,6100.0,IL,100/300,Male,Associate,tech-support,video-games,own-child,Parked Car,Front Collision,Total Loss,Fire,IL,Cleveland,Toyota,2002,1,0,2,No
175,52,1845.84,1000000,1585,3943,19128.7,4251.6,2079.4,5677.0,IN,100/300,Female,Associate,tech-support,video-games,unmarried,Single Vehicle Collision,Side Collision,Minor Damage,Fire,IL,Chicago,Honda,2012,2,2,3,No
44,51,971.76,1000000,995,4911,8837.0,5704.4,5208.3,9611.7,IN,100/300,Female,High School,craft-repair,reading,wife,Parked Car,Rear Collision,Total Loss,None,IL,Indianapolis,Chevrolet,2015,2,2,3,No
82,64,1708.85,2000000,4859,379,7624.0,2962.7,1652.7,156.4,IN,500/1000,Male,PhD,exec-managerial,football,husband,Multi-vehicle Collision,Side Collision,Minor Damage,None,IN,Chicago,BMW,2003,3,0,0,No
88,18,637.82,2000000,9687,391,18496.2,7712.7,740.4,3584.7,IL,500/1000,Male,Associate,exec-managerial,chess,other-relative,Parked Car,Rear Collision,Total Loss,Ambulance,OH,Indianapolis,Toyota,2003,2,1,1,Yes
28,24,1745.07,0,3104,4598,8463.6,3251.8,7296.1,6375.6,IL,100/300,Male,Masters,craft-repair,exercise,wife,Single Vehicle Collision,Front Collision,Major Damage,Fire,OH,Chicago,Honda,1997,2,0,1,No
193,52,503.31,1000000,3840,1028,14470.7,7709.7,4938.0,5227.3,IL,500/1000,Female,Masters,machine-op-inspct,video-games,husband,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,IN,Chicago,Honda,2009,1,2,1,Yes
90,59,1046.87,0,7858,863,16273.8,3143.6,5085.7,9075.7,IL,500/1000,Male,Associate,craft-repair,reading,own-child,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,IL,Cleveland,Ford,2017,3,0,3,Yes
143,60,645.2,1000000,6668,1722,17674.8,8804.7,6243.5,2956.3,OH,100/300,Male,High School,tech-support,football,unmarried,Multi-vehicle Collision,Side Collision,Total Loss,Police,IL,Chicago,Toyota,2015,1,1,2,Yes
134,45,1666.24,0,3627,1363,22421.4,5393.4,8074.4,8960.9,IN,100/300,Female,Associate,tech-support,chess,own-child,Multi-vehicle Collision,Rear Collision,Minor Damage,None,IL,Indianapolis,Toyota,2001,3,2,0,Yes
190,50,762.62,0,1306,4029,1012.5,3525.7,3047.8,1646.6,IN,250/500,Female,Masters,sales,video-games,husband,Single Vehicle Collision,Side Collision,Minor Damage,None,OH,Cleveland,BMW,2003,2,2,3,Yes
62,54,1477.14,0,663,1998,5039.0,2187.6,5581.0,4038.4,OH,100/300,Male,PhD,machine-op-inspct,reading,own-child,Single Vehicle Collision,Rear Collision,Total Loss,None,IL,Chicago,Ford,2011,1,2,0,Yes
186,69,719.69,0,7554,1636,7836.2,368.9,6095.6,5026.8,IL,100/300,Male,Masters,craft-repair,exercise,wife,Parked Car,Front Collision,Minor Damage,Police,OH,Chicago,Honda,2016,3,2,2,No
87,54,886.62,0,6528,3474,17336.9,5309.3,4477.8,5528.9,IL,500/1000,Female,Associate,exec-managerial,video-games,wife,Parked Car,Front Collision,Major Damage,None,OH,Indianapolis,Toyota,2017,2,2,0,Yes
68,72,1594.75,2000000,4218,4496,18477.2,3677.8,6323.1,6335.3,IN,500/1000,Female,Associate,exec-managerial,reading,wife,Multi-vehicle Collision,Side Collision,Minor Damage,None,IL,Chicago,BMW,2005,3,2,0,No
144,50,556.22,2000000,4282,3397,17699.5,8583.6,3259.6,2202.4,IN,100/300,Female,High School,craft-repair,exercise,wife,Multi-vehicle Collision,Side Collision,Total Loss,Fire,IL,Cleveland,Ford,2020,3,2,2,No
195,36,892.73,1000000,1734,1843,23572.6,3975.7,5177.5,8377.1,IN,100/300,Female,College,craft-repair,reading,own-child,Single Vehicle Collision,Front Collision,Major Damage,Fire,IL,Cleveland,Honda,2005,3,1,0,Yes
185,42,655.42,0,5534,4061,17698.8,2285.5,1749.5,9821.7,IL,100/300,Male,College,machine-op-inspct,exercise,wife,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,OH,Indianapolis,BMW,2014,1,2,1,Yes
60,66,711.15,1000000,5423,3723,14399.0,8826.4,1887.1,2788.7,IL,250/500,Male,Associate,sales,chess,unmarried,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,OH,Chicago,Ford,2013,2,0,0,No
48,33,1825.09,0,6295,3191,22306.5,8509.3,9356.3,7853.4,OH,100/300,Male,Masters,exec-managerial,football,wife,Single Vehicle Collision,Rear Collision,Total Loss,Fire,OH,Cleveland,BMW,2002,1,1,2,No
84,79,315.63,2000000,2557,98,24367.9,2839.2,3053.6,4856.1,IL,250/500,Male,High School,exec-managerial,chess,other-relative,Multi-vehicle Collision,Rear Collision,Minor Damage,None,OH,Chicago,BMW,1997,2,2,0,No
189,58,599.07,2000000,5699,4493,8809.6,7464.9,6496.3,8492.2,IN,250/500,Male,Masters,craft-repair,exercise,other-relative,Parked Car,Front Collision,Total Loss,Fire,OH,Cleveland,Toyota,2011,3,1,2,Yes
128,50,1222.32,2000000,9146,4565,7364.9,2439.9,9730.1,3931.0,OH,500/1000,Female,Masters,exec-managerial,video-games,own-child,Parked Car,Rear Collision,Minor Damage,None,IL,Cleveland,Ford,2016,3,2,2,No
8,44,1038.47,2000000,4893,959,21740.0,2301.9,4991.9,5720.0,IN,250/500,Female,Associate,tech-support,exercise,other-relative,Parked Car,Side Collision,Major Damage,None,OH,Chicago,Ford,2011,3,1,1,Yes
17,61,1898.78,1000000,1069,3444,22203.9,7477.2,9530.7,3307.5,IL,500/1000,Female,High School,sales,football,wife,Single Vehicle Collision,Rear Collision,Minor Damage,Police,IN,Cleveland,Honda,2008,1,1,3,Yes
181,48,1938.15,2000000,5088,1139,8066.8,3851.0,8511.4,3169.2,IL,250/500,Female,Masters,sales,chess,husband,Single Vehicle Collision,Side Collision,Minor Damage,Fire,IL,Chicago,Chevrolet,2012,1,2,1,Yes
